MI_NAME,MI_ID,MI_BIRTH,MI_PHONE,MI_EMAIL,MI_ADDRESS,MI_ACCOUNT,MI_PASSWORD,localfileName,type
¹w³],A123456789,1999/01/01,0977222333,default@mail.com,default_home,defaultjidooee,defaultmsowmnkx,defaultHeadshot.jpg,USER
ºÞ²zªÌ,A123456789,1999/01/01,0977222333,sa@mail.com,sa_home,sa,sa,sa.png,ADMIN
¯QÀt,A123456789,1889/12/30,0911222333,turtle@mail.com,turtle_home,turtle,turtle,turtle.png,USER
¿ß«},A123456789,2000/10/19,0911222333,cat@mail.com,cat_home,cat,cat,cat.png,USER
ª°¯W,A123456789,2015/04/14,0911222333,fox@mail.com,fox_home,fox,fox,fox.png,USER
¤p³À,A123456789,1990/03/15,0911222333,deer@mail.com,deer_home,deer,deer,deer.png,USER
³¹³½,A123456789,1972/07/22,0911222333,octopus@mail.com,octopus_home,octopus,octopus,octopus.png,USER
·à¤l,A123456789,1993/02/16,0911222333,lion@mail.com,lion_home,lion,lion,lion.png,USER
ª¯ª¯,A123456789,1970/08/09,0911222333,dog@mail.com,dog_home,dog,dog,dog.png,USER
»e¸Á,A123456789,2003/09/17,0911222333,bee@mail.com,bee_home,bee,bee,bee.png,USER
³D,A123456789,1960/09/09,0911222333,snake@mail.com,snake_home,snake,snake,snake.png,USER
®ü³b,A123456789,1899/09/03,0955888444,dolphin@mail.com,dolphin_home,dolphin,dolphin,dolphin.png,USER
ºµ¿ß,A123456789,1963/12/13,0955888444,panda@mail.com,panda_home,panda,panda,panda.png,USER
ºø¦Ï,A123456789,1955/06/08,0955888444,sheep@mail.com,sheep_home,sheep,sheep,sheep.png,USER
¤pÀn,A123456789,1977/09/27,0955888444,ducky@mail.com,ducky_home,ducky,ducky,ducky.png,USER
